playerId,Name,seasonId,teamAbbrev,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,games,ppg,gpg,apg,spg,positionCode,team_points,team_wins,std_ppg
8479542,Brandon Hagel,20202021,CHI,9,15,24,-7,0,3,2,2,91,949,0,1,11,13.988782051282051,52,0.46153846153846156,0.17307692307692307,0.28846153846153844,1.75,LW,55,24,0.29946965374197304
8480893,Kirill Marchenko,20222023,CBJ,21,4,25,-23,7,8,1,1,131,1118,0,0,16,16.189265536723163,59,0.423728813559322,0.3559322033898305,0.06779661016949153,2.2203389830508473,RW,59,25,0.2940877731628595
8475692,Mats Zuccarello,20102011,NYR,6,17,23,3,0,9,2,1,74,709,0,0,4,14.172222222222222,42,0.5476190476190477,0.14285714285714285,0.40476190476190477,1.7619047619047619,RW,93,44,0.2833686201840417
8474040,Sam Gagner,20072008,EDM,13,36,49,-21,4,16,1,0,135,1437,0,0,23,15.677426160337552,79,0.620253164556962,0.16455696202531644,0.45569620253164556,1.7088607594936709,C,88,41,0.26770695204712075
8482175,JJ Peterka,20222023,BUF,12,20,32,-15,2,5,1,0,125,1318,0,0,26,13.647186147186146,77,0.4155844155844156,0.15584415584415584,0.2597402597402597,1.6233766233766234,RW,91,42,0.25375980722050473
8477497,Sean Monahan,20132014,CGY,22,12,34,-20,3,7,2,1,140,1695,0,0,8,15.977999999999998,75,0.4533333333333333,0.29333333333333333,0.16,1.8666666666666667,C,77,35,0.24621444193921063
8475225,Craig Smith,20112012,NSH,14,22,36,-9,6,13,1,0,172,1343,0,0,30,14.1875,72,0.5,0.19444444444444445,0.3055555555555556,2.388888888888889,C,104,48,0.24143004824052908
8479619,Michael Carcone,20232024,ARI,15,5,20,1,1,2,2,0,63,689,1,1,18,11.285984848484848,44,0.45454545454545453,0.3409090909090909,0.11363636363636363,1.4318181818181819,LW,49,23,0.23310593548299277
8477935,Sam Bennett,20152016,CGY,18,18,36,-11,3,8,2,0,136,1642,0,0,37,15.146103896103897,77,0.4675324675324675,0.23376623376623376,0.23376623376623376,1.7662337662337662,C,77,35,0.2080023178192903
8474564,Steven Stamkos,20082009,TBL,23,23,46,-13,9,17,1,0,181,1499,0,0,39,14.327215189873417,79,0.5822784810126582,0.2911392405063291,0.2911392405063291,2.2911392405063293,C,66,24,0.20301415417341262
